year,state,total_co2_tons,total_so2_lbs,total_nox_lbs,num_emitting_plants,co2_intensity_tons_per_mwh,renewable_capacity_mw,renewable_capacity_fraction,coal_generation_mwh,gas_generation_mwh,nuclear_generation_mwh,renewable_generation_mwh,coal_consumed_mmbtu,gas_consumed_mmbtu,renewable_consumed_mmbtu,prev_year_co2_tons,yoy_co2_change_tons,yoy_co2_change_pct
1995,AL,21471588.27,299978530.12,93646599.32,4.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
1996,AL,20360757.79,351750763.00,84899320.26,3.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21471588.27,-1110830.48,-0.05
1997,AL,79159654.65,1135478004.63,418251846.12,12.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20360757.79,58798896.86,2.89
1998,AL,80557219.65,1150799627.82,396299621.19,12.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79159654.65,1397565.00,0.02
1999,AL,83978343.31,1084868609.00,369488107.72,13.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80557219.65,3421123.67,0.04
2000,AL,88806364.07,1024149320.82,362203003.74,13.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83978343.31,4828020.75,0.06
2001,AL,83784137.91,932226631.74,334925861.62,15.00,0.87,43399.20,0.13,49362812.38,3989973.73,30357062.88,8767245.03,0.00,0.00,0.00,88806364.07,-5022226.16,-0.06
2002,AL,87234119.25,896496082.06,323118829.96,18.00,0.86,44639.80,0.12,49725421.56,8099501.28,31856926.00,9180275.02,0.00,0.00,0.00,83784137.91,3449981.34,0.04
2003,AL,90028508.92,917243675.90,311456854.52,24.00,0.66,44848.80,0.11,75020242.24,14215417.29,31676952.94,12664867.02,0.00,0.00,0.00,87234119.25,2794389.67,0.03
2004,AL,87666415.99,824879619.78,274520201.71,25.00,0.64,46314.60,0.11,74251260.98,17294106.79,31635789.03,10626221.02,0.00,0.00,0.00,90028508.92,-2362092.94,-0.03
2005,AL,91471964.57,920143293.50,268120294.72,25.00,0.67,46519.20,0.11,78387046.43,14249400.74,31694223.09,10144581.03,0.00,0.00,0.00,87666415.99,3805548.59,0.04
2006,AL,92413616.55,910386288.12,247761854.47,25.00,0.66,46836.00,0.11,78344767.99,19680749.06,31911095.97,7251785.99,0.00,0.00,0.00,91471964.57,941651.98,0.01
2007,AL,94803587.41,894378463.03,245848335.38,25.00,0.66,47010.00,0.11,78219594.72,23472600.41,34325127.03,4136114.00,0.00,0.00,0.00,92413616.55,2389970.86,0.03
2008,AL,89426808.24,715093322.74,224900339.87,24.00,0.20,47224.80,0.11,224715295.32,66656241.92,116977923.19,18408444.01,4611802210.97,1051844600.23,0.00,94803587.41,-5376779.17,-0.06
2009,AL,74033778.23,555943149.84,99217968.63,23.00,0.17,47074.80,0.11,167570721.04,94523001.16,119148612.00,37606118.89,3688326638.73,1481002952.06,0.00,89426808.24,-15393030.00,-0.17
2010,AL,85171206.94,408378939.77,126579689.03,24.00,0.19,47083.60,0.11,189882494.62,117657651.78,113822463.19,26112761.92,3790942144.55,1820982202.39,0.00,74033778.23,11137428.70,0.15
2011,AL,84415460.42,358499020.79,122795565.45,24.00,0.18,47180.40,0.11,171986205.58,143385068.13,118068366.56,26650793.94,3387411028.38,2165355322.44,0.00,85171206.94,-755746.52,-0.01
2012,AL,75883991.34,257646617.56,91489530.93,24.00,0.17,48437.30,0.11,138135526.93,165849143.41,122523635.25,22305669.04,3068622539.32,2412230192.18,0.00,84415460.42,-8531469.07,-0.10
2013,AL,74162179.87,212302561.65,91075150.56,24.00,0.16,48985.10,0.11,142053071.86,139131002.08,122448405.19,38697533.90,2743117943.41,1948192267.66,0.00,75883991.34,-1721811.47,-0.02
2014,AL,75155072.84,239775034.67,98950679.94,24.00,0.17,49425.10,0.12,142615041.68,144261836.29,123731066.81,28400615.99,2853892095.74,2011580346.70,0.00,74162179.87,992892.97,0.01
2015,AL,72944370.16,195530329.99,89830323.80,24.00,0.16,49022.40,0.11,124911821.71,164957260.61,125854145.63,29476314.17,2457431938.15,2331532126.19,0.00,75155072.84,-2210702.68,-0.03
2016,AL,65503527.68,50068193.99,55295446.27,23.00,0.15,49944.60,0.12,102494262.01,172027464.19,119705636.44,22482617.99,2242810014.32,2844904337.35,0.00,72944370.16,-7440842.48,-0.10
2017,AL,60883581.02,20955321.73,42642159.68,23.00,0.14,51695.10,0.13,84933504.23,166922911.57,127955918.81,28254033.72,2466849024.72,3008739026.04,0.00,65503527.68,-4619946.65,-0.07
2018,AL,62170931.17,24046208.19,48879179.79,23.00,0.14,51048.80,0.13,94870721.99,170227934.85,118388480.34,34501173.08,2271105105.75,3282500105.56,0.00,60883581.02,1287350.14,0.02
2019,AL,56295754.89,12839087.73,37964412.28,23.00,0.13,53024.50,0.13,81985461.80,167398081.24,130970586.56,35370464.93,2280973621.28,3275965605.64,0.00,62170931.17,-5875176.28,-0.09
2020,AL,49577223.11,6559472.68,27528176.42,22.00,0.12,51889.90,0.14,66224944.11,160719155.72,130651941.00,41102885.89,1736593470.00,3051595225.16,0.00,56295754.89,-6718531.78,-0.12
2021,AL,54207629.33,12522965.36,29416019.80,20.00,0.13,54374.90,0.14,83460380.75,158569341.96,138109467.56,36044411.91,1938152409.63,3008148318.16,0.00,49577223.11,4630406.22,0.09
2022,AL,57519301.10,7644277.91,30023374.32,21.00,0.13,54803.70,0.14,82591155.04,180351793.81,126940969.88,33248346.06,2086424618.88,3520801329.11,0.00,54207629.33,3311671.77,0.06
2023,AL,49650602.96,4048795.46,25070357.05,21.00,0.12,56977.90,0.14,59138804.44,179744634.26,136737116.44,28891330.28,1929009865.63,3521311452.14,0.00,57519301.10,-7868698.14,-0.14
2024,AL,51683407.44,5276844.55,24521387.88,21.00,,6095.20,0.15,0.00,0.00,0.00,0.00,181617934.09,391828327.80,0.00,49650602.96,2032804.48,0.04
1997,AR,28274162.17,169588629.28,88781653.11,9.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
1998,AR,29490303.05,152555536.28,94744060.22,9.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28274162.17,1216140.88,0.04
1999,AR,31762751.02,154795538.30,101683853.95,10.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29490303.05,2272447.97,0.08
2000,AR,31886795.21,150114912.89,103549338.47,11.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31762751.02,124044.19,0.00
2001,AR,30788748.06,157458325.84,94951953.27,13.00,0.65,20102.40,0.15,24717125.00,3348375.06,14780788.94,2548251.00,0.00,0.00,0.00,31886795.21,-1098047.15,-0.03
2002,AR,29167246.68,141476668.06,84261986.05,15.00,0.62,20457.60,0.13,23017464.00,3929728.32,14558884.00,3435829.00,0.00,0.00,0.00,30788748.06,-1621501.38,-0.05
2003,AR,30822148.36,146014052.04,83497289.41,14.00,0.62,20481.60,0.11,23458887.00,7319098.34,14689416.00,2664703.16,0.00,0.00,0.00,29167246.68,1654901.68,0.06
2004,AR,31534337.65,162966038.43,80166952.84,14.00,0.61,20481.60,0.11,25282172.00,5432504.86,15449851.00,3668184.01,0.00,0.00,0.00,30822148.36,712189.30,0.02
2005,AR,29180670.50,132379432.07,70665607.03,15.00,0.61,20483.20,0.11,22970284.00,6122649.23,13689570.97,3103218.00,0.00,0.00,0.00,31534337.65,-2353667.16,-0.07
2006,AR,31508404.20,146863499.15,70828259.14,16.00,0.60,20483.20,0.11,24120317.00,9385749.13,15232577.00,1565277.00,0.00,0.00,0.00,29180670.50,2327733.70,0.08
2007,AR,32721245.34,144493752.49,75753342.50,19.00,0.60,20482.60,0.10,25668403.00,8340986.63,15486102.00,3266357.00,0.00,0.00,0.00,31508404.20,1212841.14,0.04
2008,AR,32465391.37,146578202.11,75599607.07,18.00,0.20,20722.60,0.10,78054285.42,24510096.00,42504272.91,14123561.98,1617062744.34,401298695.65,0.00,32721245.34,-255853.97,-0.01
2009,AR,32114617.41,137070911.94,68200850.38,19.00,0.19,20878.80,0.10,75063627.40,33100320.00,45509898.00,12879212.99,1497322920.09,513534970.69,0.00,32465391.37,-350773.96,-0.01
2010,AR,36654388.28,134167785.67,75571415.03,19.00,0.20,20876.90,0.10,84217451.89,36762789.00,45068034.00,10975323.01,1813821025.55,591495398.07,0.00,32114617.41,4539770.87,0.14
2011,AR,38488986.29,147245797.16,76675126.80,19.00,0.21,20882.40,0.10,88090857.18,38236341.00,42583334.91,8976827.99,1827792202.89,619866990.67,0.00,36654388.28,1834598.00,0.05
2012,AR,40159436.53,152652459.91,69693545.40,19.00,0.21,20882.40,0.10,85136493.19,50671410.86,46479393.00,6722646.00,1764587713.56,784684918.63,0.00,38488986.29,1670450.24,0.04
2013,AR,40520539.28,147155637.29,74295959.13,18.00,0.22,20637.60,0.09,95579598.28,35985621.30,35835771.00,8056675.32,1844771776.89,558158946.17,0.00,40159436.53,361102.75,0.01
2014,AR,39703013.95,151795444.73,76792758.02,18.00,0.21,20649.60,0.10,99607197.47,28365836.46,43434777.00,8120538.00,1966831944.80,451050877.53,0.00,40520539.28,-817525.34,-0.02
2015,AR,30106197.14,91087507.25,47226542.36,18.00,0.18,20781.60,0.10,65223363.34,42786220.20,41513382.00,10769715.01,1821414370.36,792064616.84,0.00,39703013.95,-9596816.80,-0.24
2016,AR,33889723.11,93145096.27,53785010.06,18.00,0.19,21210.60,0.10,71391545.91,53649822.00,40263066.00,10904856.01,1564863912.34,961825606.53,0.00,30106197.14,3783525.97,0.13
2017,AR,35609305.82,95538568.14,54999389.43,18.00,0.20,21282.60,0.11,78873600.61,51098940.00,38073237.00,8976236.96,1759655709.07,905236783.66,0.00,33889723.11,1719582.71,0.05
2018,AR,41397925.83,103545860.50,44874594.50,18.00,0.20,22103.60,0.11,89986509.47,60941289.00,38162454.00,9757299.02,2057153074.86,1076558214.81,0.00,35609305.82,5788620.01,0.16
2019,AR,35976311.75,78690591.05,34745382.82,18.00,0.19,22435.00,0.11,68205956.79,64407237.00,40724841.00,13180049.94,1966692016.66,1297215701.51,0.00,41397925.83,-5421614.08,-0.13
2020,AR,26064912.18,44460295.99,25299078.26,18.00,0.16,23663.00,0.12,46309697.71,54408302.75,45189147.00,14605055.54,1379443318.07,1096031609.26,0.00,35976311.75,-9911399.57,-0.28
2021,AR,33338809.91,67893686.84,32960951.64,17.00,0.18,24283.00,0.12,64342457.99,61296834.98,40667052.00,13723998.05,1613713692.18,1229396221.82,0.00,26064912.18,7273897.73,0.28
2022,AR,34988630.58,61999811.74,33880102.72,17.00,0.18,26100.20,0.13,61167644.88,77599008.61,42971091.00,12817506.22,1787551716.13,1533854770.39,0.00,33338809.91,1649820.67,0.05
2023,AR,31565802.83,51870131.36,29327488.00,17.00,0.17,32181.30,0.15,50590043.89,78912273.33,44917443.00,12380500.48,1582712087.79,1546845399.02,0.00,34988630.58,-3422827.75,-0.10
2024,AR,29349293.37,45272902.29,28578046.47,17.00,,4794.30,0.23,0.00,0.00,0.00,0.00,140959747.05,126406023.61,0.00,31565802.83,-2216509.46,-0.07
1997,AZ,40697235.79,252712878.95,157657905.80,11.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
1998,AZ,43630002.30,203686519.81,170206785.21,11.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40697235.79,2932766.52,0.07
1999,AZ,45767916.57,150977591.69,172851678.47,11.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43630002.30,2137914.26,0.05
2000,AZ,49404158.22,143112981.10,192980813.01,11.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45767916.57,3636241.66,0.08
